,PMID,Eligible,Model,Disease,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
755,33821142,Yes,Time Series,Covid-19,Nonlinear Neural Network Based Forecasting Model for Predicting COVID-19 Cases,"Namasudra S, Dhamodharavadhani S, Rathipriya R.",Neural Process Lett. 2021 Apr 1:1-21. doi: 10.1007/s11063-021-10495-w. Online ahead of print.,Namasudra S,Neural Process Lett,2021,2021/04/06,PMC8012519,,10.1007/s11063-021-10495-w
756,33817630,Yes,Compartmental,Covid-19,Toward the Impact of Non-pharmaceutical Interventions and Vaccination on the COVID-19 Pandemic With Time-Dependent SEIR Model,"Li Y, Ge L, Zhou Y, Cao X, Zheng J.",Front Artif Intell. 2021 Mar 18;4:648579. doi: 10.3389/frai.2021.648579. eCollection 2021.,Li Y,Front Artif Intell,2021,2021/04/05,PMC8012847,,10.3389/frai.2021.648579
757,33816095,Yes,Spatiotemporal,Covid-19,A spatio-temporal model based on discrete latent variables for the analysis of COVID-19 incidence,"Bartolucci F, Farcomeni A.",Spat Stat. 2021 Mar 27:100504. doi: 10.1016/j.spasta.2021.100504. Online ahead of print.,Bartolucci F,Spat Stat,2021,2021/04/05,PMC7997863,,10.1016/j.spasta.2021.100504
758,33816084,Yes,Compartmental,Covid-19,A two-step vaccination technique to limit COVID-19 spread using mobile data,"Jadidi M, Jamshidiha S, Masroori I, Moslemi P, Mohammadi A, Pourahmadi V.",Sustain Cities Soc. 2021 Jul;70:102886. doi: 10.1016/j.scs.2021.102886. Epub 2021 Mar 27.,Jadidi M,Sustain Cities Soc,2021,2021/04/05,PMC7999736,,10.1016/j.scs.2021.102886
759,33814968,Yes,Compartmental,Covid-19,Computational simulation of the COVID-19 epidemic with the SEIR stochastic model,"Balsa C, Lopes I, Guarda T, Rufino J.",Comput Math Organ Theory. 2021 Mar 30:1-19. doi: 10.1007/s10588-021-09327-y. Online ahead of print.,Balsa C,Comput Math Organ Theory,2021,2021/04/05,PMC8007662,,10.1007/s10588-021-09327-y
760,33814655,Yes,Compartmental,General (theoretical model),Explicit formulae for the peak time of an epidemic from the SIR model,Turkyilmazoglu M.,Physica D. 2021 Aug;422:132902. doi: 10.1016/j.physd.2021.132902. Epub 2021 Mar 26.,Turkyilmazoglu M,Physica D,2021,2021/04/05,PMC7997702,,10.1016/j.physd.2021.132902
761,33812742,Yes,Agent-based,Covid-19,"Projecting the impact of a two-dose COVID-19 vaccination campaign in Ontario, Canada","Vilches TN, Zhang K, Van Exan R, Langley JM, Moghadas SM.",Vaccine. 2021 Apr 22;39(17):2360-2365. doi: 10.1016/j.vaccine.2021.03.058. Epub 2021 Mar 20.,Vilches TN,Vaccine,2021,2021/04/04,PMC7980181,,10.1016/j.vaccine.2021.03.058
762,33805362,Yes,Agent-based,MERS,"Effectiveness of Intervention Strategies on MERS-CoV Transmission Dynamics in South Korea, 2015: Simulations on the Network Based on the Real-World Contact Data","Kim Y, Ryu H, Lee S.",Int J Environ Res Public Health. 2021 Mar 29;18(7):3530. doi: 10.3390/ijerph18073530.,Kim Y,Int J Environ Res Public Health,2021,2021/04/03,PMC8037681,,10.3390/ijerph18073530
763,33802866,Yes,Time Series,Covid-19,"Incidence and Death Rates from COVID-19 Are Not Always Coupled: An Analysis of Temporal Data on Local, Federal, and National Levels","Borgmann S, Meintrup D, Reimer K, Schels H, Nowak-Machen M.",Healthcare (Basel). 2021 Mar 17;9(3):338. doi: 10.3390/healthcare9030338.,Borgmann S,Healthcare (Basel),2021,2021/04/03,PMC8002604,,10.3390/healthcare9030338
764,33802501,Yes,Compartmental,Covid-19,A Two-Phase Stochastic Dynamic Model for COVID-19 Mid-Term Policy Recommendations in Greece: A Pathway towards Mass Vaccination,"Rachaniotis NP, Dasaklis TK, Fotopoulos F, Tinios P.",Int J Environ Res Public Health. 2021 Mar 3;18(5):2497. doi: 10.3390/ijerph18052497.,Rachaniotis NP,Int J Environ Res Public Health,2021,2021/04/03,PMC7967634,,10.3390/ijerph18052497
765,33802247,Yes,Spatiotemporal,Covid-19,Using Social Network Analysis to Identify Spatiotemporal Spread Patterns of COVID-19 around the World: Online Dashboard Development,"Yie KY, Chien TW, Yeh YT, Chou W, Su SB.",Int J Environ Res Public Health. 2021 Mar 3;18(5):2461. doi: 10.3390/ijerph18052461.,Yie KY,Int J Environ Res Public Health,2021,2021/04/03,PMC7967593,,10.3390/ijerph18052461
766,33801188,Yes,Time Series,General (theoretical model),Change Point Analysis for Detecting Vaccine Safety Signals,"You SH, Jang EJ, Kim MS, Lee MT, Kang YJ, Lee JE, Eom JH, Jung SY.",Vaccines (Basel). 2021 Mar 2;9(3):206. doi: 10.3390/vaccines9030206.,You SH,Vaccines (Basel),2021,2021/04/03,PMC8001699,,10.3390/vaccines9030206
767,33800896,Yes,Compartmental,Covid-19,SEAHIR: A Specialized Compartmental Model for COVID-19,"Leontitsis A, Senok A, Alsheikh-Ali A, Al Nasser Y, Loney T, Alshamsi A.",Int J Environ Res Public Health. 2021 Mar 6;18(5):2667. doi: 10.3390/ijerph18052667.,Leontitsis A,Int J Environ Res Public Health,2021,2021/04/03,PMC7967501,,10.3390/ijerph18052667
768,33799900,Yes,Spatiotemporal,Covid-19,Spatiotemporal Analysis of COVID-19 Incidence Data,"Spassiani I, Sebastiani G, Palù G.",Viruses. 2021 Mar 11;13(3):463. doi: 10.3390/v13030463.,Spassiani I,Viruses,2021,2021/04/03,PMC8001833,,10.3390/v13030463
769,33799289,Yes,Compartmental,Covid-19,Modelling the early phase of the Belgian COVID-19 epidemic using a stochastic compartmental model and studying its implied future trajectories,"Abrams S, Wambua J, Santermans E, Willem L, Kuylen E, Coletti P, Libin P, Faes C, Petrof O, Herzog SA, Beutels P, Hens N.",Epidemics. 2021 Jun;35:100449. doi: 10.1016/j.epidem.2021.100449. Epub 2021 Mar 23.,Abrams S,Epidemics,2021,2021/04/02,PMC7986325,,10.1016/j.epidem.2021.100449
770,33798755,Yes,Compartmental,Covid-19,"Predictive analysis of COVID-19 eradication with vaccination in India, Brazil, and U.S.A","Chaturvedi D, Chakravarty U.",Infect Genet Evol. 2021 Aug;92:104834. doi: 10.1016/j.meegid.2021.104834. Epub 2021 Mar 31.,Chaturvedi D,Infect Genet Evol,2021,2021/04/02,PMC8010329,,10.1016/j.meegid.2021.104834
771,33798208,Yes,Spatiotemporal,Bubonic plague,"Spatiotemporal analysis of bubonic plague in Pernambuco, northeast of Brazil: Case study in the municipality of Exu","Fernandes DLRDS, Gomes ECS, Bezerra MF, E Guimarães RJPS, de Almeida AMP.",PLoS One. 2021 Apr 2;16(4):e0249464. doi: 10.1371/journal.pone.0249464. eCollection 2021.,Fernandes DLRDS,PLoS One,2021,2021/04/02,PMC8018616,,10.1371/journal.pone.0249464
772,33798201,Yes,Time Series,HIV,The impact of routine HIV drug resistance testing in Ontario: A controlled interrupted time series study,"Mbuagbaw L, Logie CH, Thabane L, Smaill F, Smieja M, Burchell AN, Rachlis B, Tarride JE, Kroch A, Mazzulli T, Alvarez E, Lawson DO, Nguyen F, Perez R, Seow H.",PLoS One. 2021 Apr 2;16(4):e0246766. doi: 10.1371/journal.pone.0246766. eCollection 2021.,Mbuagbaw L,PLoS One,2021,2021/04/02,PMC8018617,,10.1371/journal.pone.0246766
773,33795723,Yes,Time Series,Covid-19,Modeling the first wave of Covid-19 pandemic in the Republic of Cyprus,"Agapiou S, Anastasiou A, Baxevani A, Nicolaides C, Hadjigeorgiou G, Christofides T, Constantinou E, Nikolopoulos G, Fokianos K.",Sci Rep. 2021 Apr 1;11(1):7342. doi: 10.1038/s41598-021-86606-3.,Agapiou S,Sci Rep,2021,2021/04/02,PMC8017012,,10.1038/s41598-021-86606-3
774,33794286,Yes,Compartmental,Covid-19,"Joint impacts of media, vaccination and treatment on an epidemic Filippov model with application to COVID-19","Deng J, Tang S, Shu H.",J Theor Biol. 2021 Aug 21;523:110698. doi: 10.1016/j.jtbi.2021.110698. Epub 2021 Mar 30.,Deng J,J Theor Biol,2021,2021/04/01,PMC8007528,,10.1016/j.jtbi.2021.110698
775,33793551,Yes,Compartmental,Covid-19,Predicting the cumulative medical load of COVID-19 outbreaks after the peak in daily fatalities,"Gros C, Valenti R, Schneider L, Gutsche B, Marković D.",PLoS One. 2021 Apr 1;16(4):e0247272. doi: 10.1371/journal.pone.0247272. eCollection 2021.,Gros C,PLoS One,2021,2021/04/01,PMC8016333,,10.1371/journal.pone.0247272
776,33791745,Yes,Spatiotemporal,Covid-19,Cryptic transmission of SARS-CoV-2 and the first COVID-19 wave in Europe and the United States,"Davis JT, Chinazzi M, Perra N, Mu K, Piontti APY, Ajelli M, Dean NE, Gioannini C, Litvinova M, Merler S, Rossi L, Sun K, Xiong X, Halloran ME, Longini IM Jr, Viboud C, Vespignani A.",medRxiv. 2021 Mar 26:2021.03.24.21254199. doi: 10.1101/2021.03.24.21254199. Preprint.,Davis JT,medRxiv,2021,2021/04/01,PMC8010777,,10.1101/2021.03.24.21254199
777,33787909,Yes,Agent-based,Covid-19,"Simulation-Based Estimation of SARS-CoV-2 Infections Associated With School Closures and Community-Based Nonpharmaceutical Interventions in Ontario, Canada","Naimark D, Mishra S, Barrett K, Khan YA, Mac S, Ximenes R, Sander B.",JAMA Netw Open. 2021 Mar 1;4(3):e213793. doi: 10.1001/jamanetworkopen.2021.3793.,Naimark D,JAMA Netw Open,2021,2021/03/31,PMC8013816,,10.1001/jamanetworkopen.2021.3793
778,33786413,Yes,Agent-based,Covid-19,High-Resolution Agent-Based Modeling of COVID-19 Spreading in a Small Town,"Truszkowska A, Behring B, Hasanyan J, Zino L, Butail S, Caroppo E, Jiang ZP, Rizzo A, Porfiri M.",Adv Theory Simul. 2021 Mar;4(3):2000277. doi: 10.1002/adts.202000277. Epub 2021 Jan 18.,Truszkowska A,Adv Theory Simul,2021,2021/03/31,PMC7995144,,10.1002/adts.202000277
779,33786024,Yes,Compartmental,Covid-19,Epidemiological model for India's COVID-19 pandemic,"Youkta K, Paramanik RN.",J Public Aff. 2021 Feb 18:e2639. doi: 10.1002/pa.2639. Online ahead of print.,Youkta K,J Public Aff,2021,2021/03/31,PMC7995088,,10.1002/pa.2639
780,33785291,Yes,Compartmental,Covid-19,Lockdown measures and their impact on single- and two-age-structured epidemic model for the COVID-19 outbreak in Mexico,"Cuevas-Maraver J, Kevrekidis PG, Chen QY, Kevrekidis GA, Villalobos-Daniel V, Rapti Z, Drossinos Y.",Math Biosci. 2021 Jun;336:108590. doi: 10.1016/j.mbs.2021.108590. Epub 2021 Mar 27.,Cuevas-Maraver J,Math Biosci,2021,2021/03/31,PMC7997978,,10.1016/j.mbs.2021.108590
781,33784882,Yes,Agent-based,General (theoretical model),"Analytical approximation for invasion and endemic thresholds, and the optimal control of epidemics in spatially explicit individual-based models","Suprunenko YF, Cornell SJ, Gilligan CA.",J R Soc Interface. 2021 Mar;18(176):20200966. doi: 10.1098/rsif.2020.0966. Epub 2021 Mar 31.,Suprunenko YF,J R Soc Interface,2021,2021/03/31,PMC8086857,,10.1098/rsif.2020.0966
782,33784332,Yes,Compartmental,Covid-19,The effectiveness of public health interventions against COVID-19: Lessons from the Singapore experience,"Ansah JP, Matchar DB, Shao Wei SL, Low JG, Pourghaderi AR, Siddiqui FJ, Min TLS, Wei-Yan AC, Ong MEH.",PLoS One. 2021 Mar 30;16(3):e0248742. doi: 10.1371/journal.pone.0248742. eCollection 2021.,Ansah JP,PLoS One,2021,2021/03/30,PMC8009429,,10.1371/journal.pone.0248742
783,33784311,Yes,Multiple,Zika,"Estimating incidence of infection from diverse data sources: Zika virus in Puerto Rico, 2016","Quandelacy TM, Healy JM, Greening B, Rodriguez DM, Chung KW, Kuehnert MJ, Biggerstaff BJ, Dirlikov E, Mier-Y-Teran-Romero L, Sharp TM, Waterman S, Johansson MA.",PLoS Comput Biol. 2021 Mar 30;17(3):e1008812. doi: 10.1371/journal.pcbi.1008812. eCollection 2021 Mar.,Quandelacy TM,PLoS Comput Biol,2021,2021/03/30,PMC8034731,,10.1371/journal.pcbi.1008812
784,33784239,Yes,Spatiotemporal,Covid-19,Spatial-Temporal Relationship Between Population Mobility and COVID-19 Outbreaks in South Carolina: Time Series Forecasting Analysis,"Zeng C, Zhang J, Li Z, Sun X, Olatosi B, Weissman S, Li X.",J Med Internet Res. 2021 Apr 13;23(4):e27045. doi: 10.2196/27045.,Zeng C,J Med Internet Res,2021,2021/03/30,PMC8045774,,10.2196/27045
785,33783394,Yes,Time Series,General (theoretical model),Incorporating Information on Control Diseases Across Space and Time to Improve Estimation of the Population-level Impact of Vaccines,"Shioda K, Cai J, Warren JL, Weinberger DM.",Epidemiology. 2021 May 1;32(3):360-367. doi: 10.1097/EDE.0000000000001341.,Shioda K,Epidemiology,2021,2021/03/30,PMC8011507,NIHMS1673604,10.1097/EDE.0000000000001341
786,33781224,Yes,Compartmental,Covid-19,Effect of different resumption strategies to flatten the potential COVID-19 outbreaks amid society reopens: a modeling study in China,"Ge Y, Zhang WB, Wang J, Liu M, Ren Z, Zhang X, Zhou C, Tian Z.",BMC Public Health. 2021 Mar 29;21(1):604. doi: 10.1186/s12889-021-10624-z.,Ge Y,BMC Public Health,2021,2021/03/30,PMC8006128,,10.1186/s12889-021-10624-z
787,33780504,Yes,Compartmental,Covid-19,The effect of control measures on COVID-19 transmission in South Korea,"Lee T, Kwon HD, Lee J.",PLoS One. 2021 Mar 29;16(3):e0249262. doi: 10.1371/journal.pone.0249262. eCollection 2021.,Lee T,PLoS One,2021,2021/03/29,PMC8006988,,10.1371/journal.pone.0249262
788,33780496,Yes,Spatiotemporal,Covid-19,Transmission and control pressure analysis of the COVID-19 epidemic situation using multisource spatio-temporal big data,"Wang F, Tan Z, Yu Z, Yao S, Guo C.",PLoS One. 2021 Mar 29;16(3):e0249145. doi: 10.1371/journal.pone.0249145. eCollection 2021.,Wang F,PLoS One,2021,2021/03/29,PMC8007114,,10.1371/journal.pone.0249145
789,33780443,Yes,Compartmental,Covid-19,Pandemic velocity: Forecasting COVID-19 in the US with a machine learning & Bayesian time series compartmental model,"Watson GL, Xiong D, Zhang L, Zoller JA, Shamshoian J, Sundin P, Bufford T, Rimoin AW, Suchard MA, Ramirez CM.",PLoS Comput Biol. 2021 Mar 29;17(3):e1008837. doi: 10.1371/journal.pcbi.1008837. eCollection 2021 Mar.,Watson GL,PLoS Comput Biol,2021,2021/03/29,PMC8031749,,10.1371/journal.pcbi.1008837
790,33777668,Yes,Compartmental,Covid-19,On nonlinear classical and fractional order dynamical system addressing COVID-19,"Shah K, Din RU, Deebani W, Kumam P, Shah Z.",Results Phys. 2021 May;24:104069. doi: 10.1016/j.rinp.2021.104069. Epub 2021 Mar 23.,Shah K,Results Phys,2021,2021/03/29,PMC7985623,,10.1016/j.rinp.2021.104069
791,33777127,Yes,Compartmental,Covid-19,Caputo SIR model for COVID-19 under optimized fractional order,"Alshomrani AS, Ullah MZ, Baleanu D.",Adv Differ Equ. 2021;2021(1):185. doi: 10.1186/s13662-021-03345-5. Epub 2021 Mar 24.,Alshomrani AS,Adv Differ Equ,2021,2021/03/29,PMC7988647,,10.1186/s13662-021-03345-5
792,33776559,Yes,Spatiotemporal,Covid-19,"A hierarchical spatio-temporal model to analyze relative risk variations of COVID-19: a focus on Spain, Italy and Germany","Jalilian A, Mateu J.",Stoch Environ Res Risk Assess. 2021;35(4):797-812. doi: 10.1007/s00477-021-02003-2. Epub 2021 Mar 23.,Jalilian A,Stoch Environ Res Risk Assess,2021,2021/03/29,PMC7985594,,10.1007/s00477-021-02003-2
793,33774176,Yes,Compartmental,Covid-19,Methodology for modelling the new COVID-19 pandemic spread and implementation to European countries,Maltezos S.,Infect Genet Evol. 2021 Jul;91:104817. doi: 10.1016/j.meegid.2021.104817. Epub 2021 Mar 25.,Maltezos S,Infect Genet Evol,2021,2021/03/28,PMC7992366,,10.1016/j.meegid.2021.104817
794,33772076,Yes,Agent-based,Covid-19,Lockdowns result in changes in human mobility which may impact the epidemiologic dynamics of SARS-CoV-2,"Kishore N, Kahn R, Martinez PP, De Salazar PM, Mahmud AS, Buckee CO.",Sci Rep. 2021 Mar 26;11(1):6995. doi: 10.1038/s41598-021-86297-w.,Kishore N,Sci Rep,2021,2021/03/27,PMC7997886,,10.1038/s41598-021-86297-w
795,33765977,Yes,Compartmental,Covid-19,Human mobility and poverty as key drivers of COVID-19 transmission and control,"Yechezkel M, Weiss A, Rejwan I, Shahmoon E, Ben-Gal S, Yamin D.",BMC Public Health. 2021 Mar 25;21(1):596. doi: 10.1186/s12889-021-10561-x.,Yechezkel M,BMC Public Health,2021,2021/03/26,PMC7993906,,10.1186/s12889-021-10561-x
796,33764982,Yes,Compartmental,Covid-19,"Identifying optimal COVID-19 testing strategies for schools and businesses: Balancing testing frequency, individual test technology, and cost","Lyng GD, Sheils NE, Kennedy CJ, Griffin DO, Berke EM.",PLoS One. 2021 Mar 25;16(3):e0248783. doi: 10.1371/journal.pone.0248783. eCollection 2021.,Lyng GD,PLoS One,2021,2021/03/25,PMC7993807,,10.1371/journal.pone.0248783
797,33763643,Yes,Time Series,Covid-19,Projecting daily travel behavior by distance during the pandemic and the spread of COVID-19 infections - Are we in a closed loop scenario?,"Truong D, Truong MD.",Transp Res Interdiscip Perspect. 2021 Mar;9:100283. doi: 10.1016/j.trip.2020.100283. Epub 2020 Dec 18.,Truong D,Transp Res Interdiscip Perspect,2021,2021/03/25,PMC7836771,,10.1016/j.trip.2020.100283
798,33762613,Yes,Spatiotemporal,Covid-19,Spatio-temporal predictive modeling framework for infectious disease spread,"Ganesan S, Subramani D.",Sci Rep. 2021 Mar 24;11(1):6741. doi: 10.1038/s41598-021-86084-7.,Ganesan S,Sci Rep,2021,2021/03/25,PMC7990963,,10.1038/s41598-021-86084-7
799,33758869,Yes,Compartmental,Covid-19,Impact of close interpersonal contact on COVID-19 incidence: evidence from one year of mobile device data,"Crawford FW, Jones SA, Cartter M, Dean SG, Warren JL, Li ZR, Barbieri J, Campbell J, Kenney P, Valleau T, Morozova O.",medRxiv. 2021 Mar 12:2021.03.10.21253282. doi: 10.1101/2021.03.10.21253282. Preprint.,Crawford FW,medRxiv,2021,2021/03/24,PMC7987027,,10.1101/2021.03.10.21253282
800,33758464,Yes,Compartmental,Covid-19,Mechanisms of recurrent outbreak of COVID-19: a model-based study,"Han C, Li M, Haihambo N, Babuna P, Liu Q, Zhao X, Jaeger C, Li Y, Yang S.",Nonlinear Dyn. 2021;106(2):1169-1185. doi: 10.1007/s11071-021-06371-w. Epub 2021 Mar 18.,Han C,Nonlinear Dyn,2021,2021/03/24,PMC7972336,,10.1007/s11071-021-06371-w
801,33755577,Yes,Compartmental,Covid-19,Adaptive Susceptible-Infectious-Removed Model for Continuous Estimation of the COVID-19 Infection Rate and Reproduction Number in the United States: Modeling Study,"Shapiro MB, Karim F, Muscioni G, Augustine AS.",J Med Internet Res. 2021 Apr 7;23(4):e24389. doi: 10.2196/24389.,Shapiro MB,J Med Internet Res,2021,2021/03/23,PMC8030656,,10.2196/24389
802,33750735,Yes,Agent-based,Covid-19,An Agent-Based Model of the Local Spread of SARS-CoV-2: Modeling Study,"Staffini A, Svensson AK, Chung UI, Svensson T.",JMIR Med Inform. 2021 Apr 6;9(4):e24192. doi: 10.2196/24192.,Staffini A,JMIR Med Inform,2021,2021/03/22,PMC8025915,,10.2196/24192
803,33746459,Yes,Compartmental,Covid-19,A fractional-order compartmental model for the spread of the COVID-19 pandemic,"Biala TA, Khaliq AQM.",Commun Nonlinear Sci Numer Simul. 2021 Jul;98:105764. doi: 10.1016/j.cnsns.2021.105764. Epub 2021 Feb 19.,Biala TA,Commun Nonlinear Sci Numer Simul,2021,2021/03/22,PMC7959886,,10.1016/j.cnsns.2021.105764
804,33746335,Yes,Time Series,Covid-19,Estimation of COVID-19 Under-Reporting in the Brazilian States Through SARI,"Paixão B, Baroni L, Pedroso M, Salles R, Escobar L, de Sousa C, de Freitas Saldanha R, Soares J, Coutinho R, Porto F, Ogasawara E.",New Gener Comput. 2021;39(3-4):623-645. doi: 10.1007/s00354-021-00125-3. Epub 2021 Mar 14.,Paixão B,New Gener Comput,2021,2021/03/22,PMC7955907,,10.1007/s00354-021-00125-3
805,33746320,Yes,Compartmental,Covid-19,Modeling the role of clusters and diffusion in the evolution of COVID-19 infections during lock-down,"Bos WJT, Bertoglio JP, Gostiaux L.",Comput Mech. 2021;67(5):1485-1496. doi: 10.1007/s00466-021-01999-2. Epub 2021 Mar 15.,Bos WJT,Comput Mech,2021,2021/03/22,PMC7957454,,10.1007/s00466-021-01999-2
806,33741734,Yes,Agent-based,Covid-19,Overdispersion in COVID-19 increases the effectiveness of limiting nonrepetitive contacts for transmission control,"Sneppen K, Nielsen BF, Taylor RJ, Simonsen L.",Proc Natl Acad Sci U S A. 2021 Apr 6;118(14):e2016623118. doi: 10.1073/pnas.2016623118.,Sneppen K,Proc Natl Acad Sci U S A,2021,2021/03/20,PMC8040586,,10.1073/pnas.2016623118
807,33740904,Yes,Time Series,Brucellosis,"Research on the predictive effect of a combined model of ARIMA and neural networks on human brucellosis in Shanxi Province, China: a time series predictive analysis","Zhai M, Li W, Tie P, Wang X, Xie T, Ren H, Zhang Z, Song W, Quan D, Li M, Chen L, Qiu L.",BMC Infect Dis. 2021 Mar 19;21(1):280. doi: 10.1186/s12879-021-05973-4.,Zhai M,BMC Infect Dis,2021,2021/03/20,PMC7980350,,10.1186/s12879-021-05973-4
808,33738825,Yes,Compartmental,Covid-19,The impact of awareness diffusion on the spread of COVID-19 based on a two-layer SEIR/V-UA epidemic model,"Zhao X, Zhou Q, Wang A, Zhu F, Meng Z, Zuo C.",J Med Virol. 2021 Jul;93(7):4342-4350. doi: 10.1002/jmv.26945. Epub 2021 Apr 1.,Zhao X,J Med Virol,2021,2021/03/19,PMC8250399,,10.1002/jmv.26945
809,33737555,Yes,Agent-based,Covid-19,Model-based projections for COVID-19 outbreak size and student-days lost to closure in Ontario childcare centres and primary schools,"Phillips B, Browne DT, Anand M, Bauch CT.",Sci Rep. 2021 Mar 18;11(1):6402. doi: 10.1038/s41598-021-85302-6.,Phillips B,Sci Rep,2021,2021/03/19,PMC7973423,,10.1038/s41598-021-85302-6
810,33735290,Yes,Agent-based,Covid-19,Impact of mobility restriction in COVID-19 superspreading events using agent-based model,"Lima LL, Atman APF.",PLoS One. 2021 Mar 18;16(3):e0248708. doi: 10.1371/journal.pone.0248708. eCollection 2021.,Lima LL,PLoS One,2021,2021/03/18,PMC7971565,,10.1371/journal.pone.0248708
811,33735223,Yes,Compartmental,General (theoretical model),"Connectivity, reproduction number, and mobility interact to determine communities' epidemiological superspreader potential in a metapopulation network","Lieberthal B, Gardner AM.",PLoS Comput Biol. 2021 Mar 18;17(3):e1008674. doi: 10.1371/journal.pcbi.1008674. eCollection 2021 Mar.,Lieberthal B,PLoS Comput Biol,2021,2021/03/18,PMC7971523,,10.1371/journal.pcbi.1008674
812,33734944,Yes,Compartmental,Small pox,Modelling of optimal vaccination strategies in response to a bioterrorism associated smallpox outbreak,"Costantino V, Kunasekaran M, MacIntyre CR.",Hum Vaccin Immunother. 2021 Mar 4;17(3):738-746. doi: 10.1080/21645515.2020.1800324. Epub 2020 Dec 2.,Costantino V,Hum Vaccin Immunother,2021,2021/03/18,PMC7993194,,10.1080/21645515.2020.1800324
813,33731722,Yes,Agent-based,Covid-19,Evaluation of reopening strategies for educational institutions during COVID-19 through agent based simulation,"Mukherjee UK, Bose S, Ivanov A, Souyris S, Seshadri S, Sridhar P, Watkins R, Xu Y.",Sci Rep. 2021 Mar 17;11(1):6264. doi: 10.1038/s41598-021-84192-y.,Mukherjee UK,Sci Rep,2021,2021/03/18,PMC7969783,,10.1038/s41598-021-84192-y
814,33731053,Yes,Compartmental,Covid-19,"Population migration, spread of COVID-19, and epidemic prevention and control: empirical evidence from China","Hu Z, Wu Y, Su M, Xie L, Zhang A, Lin X, Nie Y.",BMC Public Health. 2021 Mar 17;21(1):529. doi: 10.1186/s12889-021-10605-2.,Hu Z,BMC Public Health,2021,2021/03/18,PMC7968569,,10.1186/s12889-021-10605-2
815,33730035,Yes,Spatiotemporal,Covid-19,Space-time covid-19 Bayesian SIR modeling in South Carolina,"Lawson AB, Kim J.",PLoS One. 2021 Mar 17;16(3):e0242777. doi: 10.1371/journal.pone.0242777. eCollection 2021.,Lawson AB,PLoS One,2021,2021/03/17,PMC7968659,,10.1371/journal.pone.0242777
816,33727767,Yes,Compartmental,Covid-19,Predicting the dynamical behavior of COVID-19 epidemic and the effect of control strategies,"Shakhany MQ, Salimifard K.",Chaos Solitons Fractals. 2021 May;146:110823. doi: 10.1016/j.chaos.2021.110823. Epub 2021 Mar 11.,Shakhany MQ,Chaos Solitons Fractals,2021,2021/03/17,PMC7951801,,10.1016/j.chaos.2021.110823
817,33727636,Yes,Time Series,Covid-19,Reopening businesses and risk of COVID-19 transmission,"O'Donoghue A, Dechen T, Pavlova W, Boals M, Moussa G, Madan M, Thakkar A, DeFalco FJ, Stevens JP.",NPJ Digit Med. 2021 Mar 16;4(1):51. doi: 10.1038/s41746-021-00420-9.,O'Donoghue A,NPJ Digit Med,2021,2021/03/17,PMC7966767,,10.1038/s41746-021-00420-9
818,33726787,Yes,Agent-based,Covid-19,A versatile web app for identifying the drivers of COVID-19 epidemics,"Getz WM, Salter R, Luisa Vissat L, Horvitz N.",J Transl Med. 2021 Mar 16;19(1):109. doi: 10.1186/s12967-021-02736-2.,Getz WM,J Transl Med,2021,2021/03/17,PMC7962635,,10.1186/s12967-021-02736-2
819,33644499,Yes,Compartmental,Covid-19,Assessing effects of reopening policies on COVID-19 pandemic in Texas with a data-driven transmission model,"Yu D, Zhu G, Wang X, Zhang C, Soltanalizadeh B, Wang X, Tang S, Wu H.",Infect Dis Model. 2021;6:461-473. doi: 10.1016/j.idm.2021.02.001. Epub 2021 Feb 23.,Yu D,Infect Dis Model,2021,2021/03/01,PMC7901308,,10.1016/j.idm.2021.02.001
820,33725011,Yes,Time Series,HFRS,Improving the precision of modeling the incidence of hemorrhagic fever with renal syndrome in mainland China with an ensemble machine learning approach,"Ye GH, Alim M, Guan P, Huang DS, Zhou BS, Wu W.",PLoS One. 2021 Mar 16;16(3):e0248597. doi: 10.1371/journal.pone.0248597. eCollection 2021.,Ye GH,PLoS One,2021,2021/03/16,PMC7963064,,10.1371/journal.pone.0248597
821,33723312,Yes,Compartmental,Covid-19,A modeling study to inform screening and testing interventions for the control of SARS-CoV-2 on university campuses,"Lopman B, Liu CY, Le Guillou A, Handel A, Lash TL, Isakov AP, Jenness SM.",Sci Rep. 2021 Mar 15;11(1):5900. doi: 10.1038/s41598-021-85252-z.,Lopman B,Sci Rep,2021,2021/03/16,PMC7960702,,10.1038/s41598-021-85252-z
822,33718314,Yes,Time Series,Covid-19,Weather Conditions and COVID-19 Incidence in a Cold Climate: A Time-Series Study in Finland,"Heibati B, Wang W, Ryti NRI, Dominici F, Ducatman A, Zhang Z, Jaakkola JJK.",Front Public Health. 2021 Feb 25;8:605128. doi: 10.3389/fpubh.2020.605128. eCollection 2020.,Heibati B,Front Public Health,2021,2021/03/15,PMC7946816,,10.3389/fpubh.2020.605128
823,33688668,Yes,Agent-based,Covid-19,Mathematical modeling to inform vaccination strategies and testing approaches for COVID-19 in nursing homes,"Kahn R, Holmdahl I, Reddy S, Jernigan J, Mina MJ, Slayton RB.",medRxiv. 2021 Mar 1:2021.02.26.21252483. doi: 10.1101/2021.02.26.21252483. Preprint.,Kahn R,medRxiv,2021,2021/03/10,PMC7941643,,10.1101/2021.02.26.21252483
